code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,symbol
SZ.300662,N/A,2023-09-27 00:00:00,31.97,32.16,32.65,31.87,24.662,0.00595,1170538,37733188.7,0.9416195856873734,31.86,SZ.300662
SZ.300662,N/A,2023-09-28 00:00:00,32.16,31.61,32.85,31.33,24.24,0.00584,1148400,36413425.0,-1.7101990049751155,32.16,SZ.300662
SZ.300662,N/A,2023-10-09 00:00:00,31.65,32.43,32.53,31.08,24.869,0.00689,1355776,43210598.4,2.5941157861436266,31.61,SZ.300662
SZ.300662,N/A,2023-10-10 00:00:00,32.38,31.81,32.66,31.75,24.394,0.00544,1071600,34314231.0,-1.9118100524206014,32.43,SZ.300662
SZ.300662,N/A,2023-10-11 00:00:00,31.98,32.34,32.84,31.86,24.8,0.00524,1030900,33375508.0,1.66614272241435,31.81,SZ.300662
SZ.300662,N/A,2023-10-12 00:00:00,32.35,33.67,34.26,32.35,25.82,0.01234,2427988,81491047.97,4.112554112554107,32.34,SZ.300662
SZ.300662,N/A,2023-10-13 00:00:00,33.45,33.67,33.91,33.08,25.82,0.00551,1083800,36320291.0,0.0,33.67,SZ.300662
SZ.300662,N/A,2023-10-16 00:00:00,33.88,32.74,33.88,32.43,25.107,0.00622,1225000,40311424.0,-2.762102762102761,33.67,SZ.300662
SZ.300662,N/A,2023-10-17 00:00:00,32.7,33.21,33.3,32.7,25.467,0.00344,676500,22329721.0,1.435552840562,32.74,SZ.300662
SZ.300662,N/A,2023-10-18 00:00:00,33.27,32.17,33.27,31.92,24.67,0.00339,666500,21593680.04,-3.131586871424267,33.21,SZ.300662
SZ.300662,N/A,2023-10-19 00:00:00,31.99,32.52,33.1,31.65,24.938,0.00535,1053700,34299228.0,1.087970158532799,32.17,SZ.300662
SZ.300662,N/A,2023-10-20 00:00:00,32.34,31.54,33.09,31.33,24.187,0.00839,1650400,52506028.0,-3.013530135301365,32.52,SZ.300662
SZ.300662,N/A,2023-10-23 00:00:00,31.54,29.8,31.54,29.64,22.852,0.00832,1638200,49427284.0,-5.516804058338613,31.54,SZ.300662
SZ.300662,N/A,2023-10-24 00:00:00,30.07,30.39,30.58,29.45,23.305,0.00711,1399200,42230101.0,1.97986577181208,29.8,SZ.300662
SZ.300662,N/A,2023-10-25 00:00:00,30.92,30.15,31.43,29.82,23.121,0.0074,1455599,44464226.84,-0.789733464955584,30.39,SZ.300662
SZ.300662,N/A,2023-10-26 00:00:00,30.15,29.63,30.38,29.4,22.722,0.00603,1187200,35330825.0,-1.7247097844112755,30.15,SZ.300662
SZ.300662,N/A,2023-10-27 00:00:00,29.56,30.99,31.16,29.13,23.765,0.01083,2131700,64474678.0,4.589942625717177,29.63,SZ.300662
SZ.300662,N/A,2023-10-30 00:00:00,30.2,30.91,31.06,29.38,27.066,0.0136,2677176,80888217.84,-0.258147789609546,30.99,SZ.300662
SZ.300662,N/A,2023-10-31 00:00:00,30.79,30.17,30.9,29.93,26.418,0.0079,1555300,47051845.0,-2.39404723390488,30.91,SZ.300662
SZ.300662,N/A,2023-11-01 00:00:00,30.18,30.25,30.59,29.89,26.488,0.00619,1218000,36802485.0,0.26516407026847294,30.17,SZ.300662
SZ.300662,N/A,2023-11-02 00:00:00,30.8,29.97,30.8,29.78,26.243,0.00663,1304849,39202943.1,-0.9256198347107475,30.25,SZ.300662
SZ.300662,N/A,2023-11-03 00:00:00,29.92,30.62,30.94,29.88,26.812,0.00791,1556576,47585015.68,2.168835502168843,29.97,SZ.300662
SZ.300662,N/A,2023-11-06 00:00:00,30.6,31.46,31.62,30.6,27.548,0.01242,2443649,76473344.88,2.743305029392553,30.62,SZ.300662
SZ.300662,N/A,2023-11-07 00:00:00,31.61,31.33,31.61,30.19,27.434,0.01155,2273900,70218653.0,-0.41322314049587583,31.46,SZ.300662
SZ.300662,N/A,2023-11-08 00:00:00,31.69,31.24,31.81,31.1,27.355,0.00955,1880200,59009850.0,-0.28726460261729925,31.33,SZ.300662
SZ.300662,N/A,2023-11-09 00:00:00,31.15,30.67,31.3,30.38,26.856,0.0101,1987900,61034646.0,-1.8245838668373777,31.24,SZ.300662
SZ.300662,N/A,2023-11-10 00:00:00,30.51,30.37,30.52,29.93,26.593,0.00833,1639888,49555636.6,-0.9781545484186523,30.67,SZ.300662
SZ.300662,N/A,2023-11-13 00:00:00,30.49,30.16,30.7,29.8,26.409,0.00731,1439170,43438010.3,-0.6914718472176518,30.37,SZ.300662
SZ.300662,N/A,2023-11-14 00:00:00,30.16,30.69,30.77,30.03,26.873,0.01112,2188200,66647509.9,1.7572944297082265,30.16,SZ.300662
SZ.300662,N/A,2023-11-15 00:00:00,30.84,30.51,31.1,30.24,26.716,0.00887,1745171,53331890.59,-0.5865102639296178,30.69,SZ.300662
SZ.300662,N/A,2023-11-16 00:00:00,30.32,30.32,30.61,30.15,26.549,0.00628,1235200,37552615.0,-0.6227466404457597,30.51,SZ.300662
SZ.300662,N/A,2023-11-17 00:00:00,30.31,30.69,30.78,30.09,26.873,0.00613,1207200,36786023.0,1.2203166226912963,30.32,SZ.300662
SZ.300662,N/A,2023-11-20 00:00:00,30.66,30.65,30.97,30.33,26.838,0.01043,2052332,62760712.72,-0.13033561420659073,30.69,SZ.300662
SZ.300662,N/A,2023-11-21 00:00:00,30.46,30.79,31.24,30.46,26.961,0.01273,2505600,77427966.0,0.45676998368678823,30.65,SZ.300662
SZ.300662,N/A,2023-11-22 00:00:00,30.9,30.66,31.04,30.57,26.847,0.0085,1673500,51593281.0,-0.4222150048717083,30.79,SZ.300662
SZ.300662,N/A,2023-11-23 00:00:00,30.76,32.11,32.36,30.38,28.117,0.01819,3579100,113131531.0,4.729288975864316,30.66,SZ.300662
SZ.300662,N/A,2023-11-24 00:00:00,32.13,31.41,32.26,31.2,27.504,0.00887,1746400,55103892.0,-2.1800062285892223,32.11,SZ.300662
SZ.300662,N/A,2023-11-27 00:00:00,31.37,32.24,32.75,31.04,28.231,0.01552,3054306,97328869.3,2.642470550780012,31.41,SZ.300662
SZ.300662,N/A,2023-11-28 00:00:00,32.3,32.01,32.42,31.82,28.029,0.00891,1754208,56231120.44,-0.7133995037220966,32.24,SZ.300662
SZ.300662,N/A,2023-11-29 00:00:00,32.1,32.22,32.4,31.6,28.213,0.00751,1477376,47341203.8,0.6560449859418959,32.01,SZ.300662
